T_K,status,rho_l_molm3,rho_v_molm3,p_Pa,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,fallback_used,notes
278.4723618090452,CONVERGED,3482.077411529949,995.921976828674,1343271.6370478822,38372.41607224205,42191.807866493844,8.666551024838254e-16,1.178433676209531e-15,5,False,attempt=1; line-search rejected step
279.1356783919598,CONVERGED,3486.0661990048243,1006.1483700860445,1355764.5593712002,38584.139390689685,42238.619931964895,0.0,1.1756333369487177e-15,8,False,attempt=1; line-search rejected step
279.79899497487435,CONVERGED,3493.42877258508,1015.4124684533983,1367809.0317091336,38813.707745714375,42288.28026475638,0.0,0.0,8,False,attempt=1; line-search rejected step
280.46231155778895,CONVERGED,3504.3578816705904,1023.5105335694335,1379315.7050779748,39064.33527854602,42341.27607733721,3.376031213110959e-16,7.800482644213593e-16,5,False,attempt=1; line-search rejected step
281.1256281407035,CONVERGED,3518.9224407246224,1030.2237481244445,1390183.674578545,39339.669061703426,42398.121128916086,1.3398554329848866e-15,7.782077387009316e-16,4,False,attempt=1; line-search rejected step
281.7889447236181,CONVERGED,3537.0302629032667,1035.3261952258526,1400300.856479718,39643.684959899954,42459.33456026666,1.6627187120287386e-16,3.881879389924826e-16,7,False,attempt=1; line-search rejected step
282.45226130653265,CONVERGED,3558.4043948731046,1038.5964048923856,1409545.3865493909,39980.50396420692,42525.41168563045,0.0,1.549105242452495e-15,7,False,attempt=1; line-search rejected step
283.11557788944725,CONVERGED,3582.5835601785216,1039.8318926676875,1417788.2247728587,40354.14558874463,42596.78858018921,3.284420614950036e-16,3.8636895397483945e-16,10,False,attempt=1; line-search rejected step
283.7788944723618,CONVERGED,3608.9525705205565,1038.8650580679466,1424896.9430917557,40768.261253841374,42673.804785240085,3.2680348537862865e-16,3.8546583912279455e-16,7,False,attempt=1; line-search rejected step
284.4422110552764,CONVERGED,3636.7995692853106,1035.5778978556204,1430740.4026050474,41225.90448669151,42756.670416096546,1.6273437391572842e-16,0.0,6,False,attempt=1; line-search rejected step
285.10552763819095,CONVERGED,3665.387651643969,1029.9127287007616,1435193.7968935836,41729.38465361484,42845.444215696785,1.6222941052129805e-16,3.8367221635191864e-16,6,False,attempt=1; line-search rejected step
